GID	Pathway	Pathway_Name	Pathway_Class	Pathway_Subclass
31	Cchi00059	ko00140	Steroid hormone biosynthesis	Metabolism	Lipid metabolism
32	Cchi00060	ko00310	Lysine degradation	Metabolism	Amino acid metabolism
33	Cchi00069	ko00230	Purine metabolism	Metabolism	Nucleotide metabolism
34	Cchi00069	ko00240	Pyrimidine metabolism	Metabolism	Nucleotide metabolism
35	Cchi00069	ko03020	RNA polymerase	Genetic Information Processing	Transcription
38	Cchi00083	ko00270	Cysteine and methionine metabolism	Metabolism	Amino acid metabolism
39	Cchi00083	ko00480	Glutathione metabolism	Metabolism	Metabolism of other amino acids
40	Cchi00083	ko04216	Ferroptosis	Cellular Processes	Cell growth and death
44	Cchi00089	ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
45	Cchi00089	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
46	Cchi00089	ko00140	Steroid hormone biosynthesis	Metabolism	Lipid metabolism
47	Cchi00089	ko00830	Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins
48	Cchi00089	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
49	Cchi00089	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
50	Cchi00089	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
51	Cchi00089	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
53	Cchi00101	ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
54	Cchi00101	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
55	Cchi00101	ko00140	Steroid hormone biosynthesis	Metabolism	Lipid metabolism
56	Cchi00101	ko00830	Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins
57	Cchi00101	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
58	Cchi00101	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
59	Cchi00101	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
60	Cchi00101	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
62	Cchi00146	ko04015	Rap1 signaling pathway	Environmental Information Processing	Signal transduction
63	Cchi00146	ko04145	Phagosome	Cellular Processes	Transport and catabolism
64	Cchi00146	ko04210	Apoptosis	Cellular Processes	Cell growth and death
65	Cchi00146	ko04390	Hippo signaling pathway	Environmental Information Processing	Signal transduction
66	Cchi00146	ko04391	Hippo signaling pathway - fly	Environmental Information Processing	Signal transduction
67	Cchi00146	ko04510	Focal adhesion	Cellular Processes	Cellular community - eukaryotes
68	Cchi00146	ko04520	Adherens junction	Cellular Processes	Cellular community - eukaryotes
69	Cchi00146	ko04530	Tight junction	Cellular Processes	Cellular community - eukaryotes
70	Cchi00146	ko04611	Platelet activation	Organismal Systems	Immune system
71	Cchi00146	ko04670	Leukocyte transendothelial migration	Organismal Systems	Immune system
72	Cchi00146	ko04714	Thermogenesis	Organismal Systems	Environmental adaptation
73	Cchi00146	ko04745	Phototransduction - fly	Organismal Systems	Sensory system
74	Cchi00146	ko04810	Regulation of actin cytoskeleton	Cellular Processes	Cell motility
75	Cchi00146	ko04919	Thyroid hormone signaling pathway	Organismal Systems	Endocrine system
76	Cchi00146	ko04921	Oxytocin signaling pathway	Organismal Systems	Endocrine system
90	Cchi00150	ko00330	Arginine and proline metabolism	Metabolism	Amino acid metabolism
91	Cchi00154	ko04146	Peroxisome	Cellular Processes	Transport and catabolism
92	Cchi00156	ko03022	Basal transcription factors	Genetic Information Processing	Transcription
93	Cchi00156	ko03420	Nucleotide excision repair	Genetic Information Processing	Replication and repair
94	Cchi00158	ko03040	Spliceosome	Genetic Information Processing	Transcription
95	Cchi00174	ko00061	Fatty acid biosynthesis	Metabolism	Lipid metabolism
96	Cchi00174	ko00071	Fatty acid degradation	Metabolism	Lipid metabolism
97	Cchi00174	ko02024	Quorum sensing	Cellular Processes	Cellular community - prokaryotes
98	Cchi00174	ko03320	PPAR signaling pathway	Organismal Systems	Endocrine system
99	Cchi00174	ko04146	Peroxisome	Cellular Processes	Transport and catabolism
100	Cchi00174	ko04216	Ferroptosis	Cellular Processes	Cell growth and death
101	Cchi00174	ko04714	Thermogenesis	Organismal Systems	Environmental adaptation
102	Cchi00174	ko04920	Adipocytokine signaling pathway	Organismal Systems	Endocrine system
103	Cchi00177	ko04022	cGMP-PKG signaling pathway	Environmental Information Processing	Signal transduction
104	Cchi00177	ko04068	FoxO signaling pathway	Environmental Information Processing	Signal transduction
105	Cchi00177	ko04140	Autophagy - animal	Cellular Processes	Transport and catabolism
106	Cchi00177	ko04150	mTOR signaling pathway	Environmental Information Processing	Signal transduction
107	Cchi00177	ko04151	PI3K-Akt signaling pathway	Environmental Information Processing	Signal transduction
108	Cchi00177	ko04152	AMPK signaling pathway	Environmental Information Processing	Signal transduction
109	Cchi00177	ko04211	Longevity regulating pathway	Organismal Systems	Aging
110	Cchi00177	ko04212	Longevity regulating pathway - worm	Organismal Systems	Aging
111	Cchi00177	ko04213	Longevity regulating pathway - multiple species	Organismal Systems	Aging
112	Cchi00177	ko04722	Neurotrophin signaling pathway	Organismal Systems	Nervous system
113	Cchi00177	ko04910	Insulin signaling pathway	Organismal Systems	Endocrine system
114	Cchi00177	ko04920	Adipocytokine signaling pathway	Organismal Systems	Endocrine system
115	Cchi00177	ko04923	Regulation of lipolysis in adipocytes	Organismal Systems	Endocrine system
119	Cchi00177	ko04960	Aldosterone-regulated sodium reabsorption	Organismal Systems	Excretory system
122	Cchi00180	ko03430	Mismatch repair	Genetic Information Processing	Replication and repair
123	Cchi00180	ko03460	Fanconi anemia pathway	Genetic Information Processing	Replication and repair
128	Cchi00181	ko00531	Glycosaminoglycan degradation	Metabolism	Glycan biosynthesis and metabolism
129	Cchi00181	ko04142	Lysosome	Cellular Processes	Transport and catabolism
132	Cchi00184	ko00270	Cysteine and methionine metabolism	Metabolism	Amino acid metabolism
133	Cchi00184	ko03420	Nucleotide excision repair	Genetic Information Processing	Replication and repair
134	Cchi00184	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing	Folding, sorting and degradation
136	Cchi00190	ko00010	Glycolysis / Gluconeogenesis	Metabolism	Carbohydrate metabolism
137	Cchi00190	ko00020	Citrate cycle (TCA cycle)	Metabolism	Carbohydrate metabolism
138	Cchi00190	ko00620	Pyruvate metabolism	Metabolism	Carbohydrate metabolism
139	Cchi00190	ko03320	PPAR signaling pathway	Organismal Systems	Endocrine system
140	Cchi00190	ko04068	FoxO signaling pathway	Environmental Information Processing	Signal transduction
141	Cchi00190	ko04151	PI3K-Akt signaling pathway	Environmental Information Processing	Signal transduction
142	Cchi00190	ko04152	AMPK signaling pathway	Environmental Information Processing	Signal transduction
143	Cchi00190	ko04910	Insulin signaling pathway	Organismal Systems	Endocrine system
144	Cchi00190	ko04920	Adipocytokine signaling pathway	Organismal Systems	Endocrine system
145	Cchi00190	ko04922	Glucagon signaling pathway	Organismal Systems	Endocrine system
147	Cchi00190	ko04964	Proximal tubule bicarbonate reclamation	Organismal Systems	Excretory system
148	Cchi00191	ko00010	Glycolysis / Gluconeogenesis	Metabolism	Carbohydrate metabolism
149	Cchi00191	ko00020	Citrate cycle (TCA cycle)	Metabolism	Carbohydrate metabolism
150	Cchi00191	ko00620	Pyruvate metabolism	Metabolism	Carbohydrate metabolism
151	Cchi00191	ko03320	PPAR signaling pathway	Organismal Systems	Endocrine system
152	Cchi00191	ko04068	FoxO signaling pathway	Environmental Information Processing	Signal transduction
153	Cchi00191	ko04151	PI3K-Akt signaling pathway	Environmental Information Processing	Signal transduction
154	Cchi00191	ko04152	AMPK signaling pathway	Environmental Information Processing	Signal transduction
155	Cchi00191	ko04910	Insulin signaling pathway	Organismal Systems	Endocrine system
156	Cchi00191	ko04920	Adipocytokine signaling pathway	Organismal Systems	Endocrine system
157	Cchi00191	ko04922	Glucagon signaling pathway	Organismal Systems	Endocrine system
159	Cchi00191	ko04964	Proximal tubule bicarbonate reclamation	Organismal Systems	Excretory system
160	Cchi00203	ko04145	Phagosome	Cellular Processes	Transport and catabolism
161	Cchi00203	ko04210	Apoptosis	Cellular Processes	Cell growth and death
162	Cchi00203	ko04530	Tight junction	Cellular Processes	Cellular community - eukaryotes
163	Cchi00203	ko04540	Gap junction	Cellular Processes	Cellular community - eukaryotes
165	Cchi00204	ko04145	Phagosome	Cellular Processes	Transport and catabolism
166	Cchi00204	ko04210	Apoptosis	Cellular Processes	Cell growth and death
167	Cchi00204	ko04530	Tight junction	Cellular Processes	Cellular community - eukaryotes
168	Cchi00204	ko04540	Gap junction	Cellular Processes	Cellular community - eukaryotes
170	Cchi00207	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism	Metabolism of cofactors and vitamins
171	Cchi00207	ko00360	Phenylalanine metabolism	Metabolism	Amino acid metabolism
172	Cchi00207	ko00940	Phenylpropanoid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
173	Cchi00208	ko00062	Fatty acid elongation	Metabolism	Lipid metabolism
174	Cchi00208	ko00071	Fatty acid degradation	Metabolism	Lipid metabolism
175	Cchi00208	ko00280	Valine, leucine and isoleucine degradation	Metabolism	Amino acid metabolism
177	Cchi00214	ko04320	Dorso-ventral axis formation	Organismal Systems	Development
178	Cchi00216	ko04614	Renin-angiotensin system	Organismal Systems	Endocrine system
179	Cchi00223	ko04550	Signaling pathways regulating pluripotency of stem cells	Cellular Processes	Cellular community - eukaryotes
180	Cchi00229	ko04725	Cholinergic synapse	Organismal Systems	Nervous system
182	Cchi00231	ko00511	Other glycan degradation	Metabolism	Glycan biosynthesis and metabolism
183	Cchi00231	ko04142	Lysosome	Cellular Processes	Transport and catabolism
184	Cchi00232	ko00511	Other glycan degradation	Metabolism	Glycan biosynthesis and metabolism
185	Cchi00232	ko04142	Lysosome	Cellular Processes	Transport and catabolism
186	Cchi00233	ko00900	Terpenoid backbone biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
187	Cchi00238	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
188	Cchi00239	ko04070	Phosphatidylinositol signaling system	Environmental Information Processing	Signal transduction
189	Cchi00239	ko04138	Autophagy - yeast	Cellular Processes	Transport and catabolism
190	Cchi00240	ko04070	Phosphatidylinositol signaling system	Environmental Information Processing	Signal transduction
191	Cchi00240	ko04138	Autophagy - yeast	Cellular Processes	Transport and catabolism
192	Cchi00248	ko03008	Ribosome biogenesis in eukaryotes	Genetic Information Processing	Translation
193	Cchi00248	ko03013	RNA transport	Genetic Information Processing	Translation
194	Cchi00258	ko04218	Cellular senescence	Cellular Processes	Cell growth and death
195	Cchi00263	ko00511	Other glycan degradation	Metabolism	Glycan biosynthesis and metabolism
196	Cchi00263	ko04142	Lysosome	Cellular Processes	Transport and catabolism
197	Cchi00264	ko00511	Other glycan degradation	Metabolism	Glycan biosynthesis and metabolism
198	Cchi00264	ko04142	Lysosome	Cellular Processes	Transport and catabolism
199	Cchi00265	ko04015	Rap1 signaling pathway	Environmental Information Processing	Signal transduction
200	Cchi00265	ko04024	cAMP signaling pathway	Environmental Information Processing	Signal transduction
201	Cchi00265	ko04072	Phospholipase D signaling pathway	Environmental Information Processing	Signal transduction
202	Cchi00265	ko04261	Adrenergic signaling in cardiomyocytes	Organismal Systems	Circulatory system
203	Cchi00265	ko04670	Leukocyte transendothelial migration	Organismal Systems	Immune system
204	Cchi00265	ko04911	Insulin secretion	Organismal Systems	Endocrine system
205	Cchi00272	ko04624	Toll and Imd signaling pathway	Organismal Systems	Immune system
207	Cchi00273	ko04624	Toll and Imd signaling pathway	Organismal Systems	Immune system
209	Cchi00274	ko04624	Toll and Imd signaling pathway	Organismal Systems	Immune system
211	Cchi00275	ko04624	Toll and Imd signaling pathway	Organismal Systems	Immune system
213	Cchi00276	ko04624	Toll and Imd signaling pathway	Organismal Systems	Immune system
215	Cchi00291	ko04111	Cell cycle - yeast	Cellular Processes	Cell growth and death
216	Cchi00291	ko04390	Hippo signaling pathway	Environmental Information Processing	Signal transduction
217	Cchi00291	ko04391	Hippo signaling pathway - fly	Environmental Information Processing	Signal transduction
218	Cchi00291	ko04392	Hippo signaling pathway - multiple species	Environmental Information Processing	Signal transduction
219	Cchi00297	ko04727	GABAergic synapse	Organismal Systems	Nervous system
221	Cchi00321	ko03008	Ribosome biogenesis in eukaryotes	Genetic Information Processing	Translation
222	Cchi00337	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
223	Cchi00338	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
224	Cchi00340	ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	Metabolism	Glycan biosynthesis and metabolism
225	Cchi00340	ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	Metabolism	Glycan biosynthesis and metabolism
226	Cchi00344	ko04142	Lysosome	Cellular Processes	Transport and catabolism
227	Cchi00350	ko00600	Sphingolipid metabolism	Metabolism	Lipid metabolism
228	Cchi00350	ko04071	Sphingolipid signaling pathway	Environmental Information Processing	Signal transduction
230	Cchi00370	ko04136	Autophagy - other	Cellular Processes	Transport and catabolism
231	Cchi00370	ko04138	Autophagy - yeast	Cellular Processes	Transport and catabolism
232	Cchi00370	ko04139	Mitophagy - yeast	Cellular Processes	Transport and catabolism
233	Cchi00370	ko04140	Autophagy - animal	Cellular Processes	Transport and catabolism
234	Cchi00370	ko04150	mTOR signaling pathway	Environmental Information Processing	Signal transduction
235	Cchi00370	ko04212	Longevity regulating pathway - worm	Organismal Systems	Aging
236	Cchi00380	ko04210	Apoptosis	Cellular Processes	Cell growth and death
238	Cchi00389	ko00450	Selenocompound metabolism	Metabolism	Metabolism of other amino acids
239	Cchi00398	ko00760	Nicotinate and nicotinamide metabolism	Metabolism	Metabolism of cofactors and vitamins
242	Cchi00403	ko04391	Hippo signaling pathway - fly	Environmental Information Processing	Signal transduction
243	Cchi00403	ko04621	NOD-like receptor signaling pathway	Organismal Systems	Immune system
244	Cchi00407	ko00230	Purine metabolism	Metabolism	Nucleotide metabolism
245	Cchi00407	ko00240	Pyrimidine metabolism	Metabolism	Nucleotide metabolism
246	Cchi00407	ko03030	DNA replication	Genetic Information Processing	Replication and repair
247	Cchi00407	ko03410	Base excision repair	Genetic Information Processing	Replication and repair
248	Cchi00407	ko03420	Nucleotide excision repair	Genetic Information Processing	Replication and repair
250	Cchi00408	ko00900	Terpenoid backbone biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
251	Cchi00408	ko04152	AMPK signaling pathway	Environmental Information Processing	Signal transduction
252	Cchi00408	ko04976	Bile secretion	Organismal Systems	Digestive system
253	Cchi00409	ko00630	Glyoxylate and dicarboxylate metabolism	Metabolism	Carbohydrate metabolism
254	Cchi00409	ko04146	Peroxisome	Cellular Processes	Transport and catabolism
255	Cchi00410	ko00630	Glyoxylate and dicarboxylate metabolism	Metabolism	Carbohydrate metabolism
256	Cchi00410	ko04146	Peroxisome	Cellular Processes	Transport and catabolism
257	Cchi00411	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
259	Cchi00411	ko04013	MAPK signaling pathway - fly	Environmental Information Processing	Signal transduction
260	Cchi00411	ko04115	p53 signaling pathway	Cellular Processes	Cell growth and death
261	Cchi00411	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing	Folding, sorting and degradation
262	Cchi00411	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
263	Cchi00411	ko04310	Wnt signaling pathway	Environmental Information Processing	Signal transduction
264	Cchi00413	ko03450	Non-homologous end-joining	Genetic Information Processing	Replication and repair
265	Cchi00417	ko00020	Citrate cycle (TCA cycle)	Metabolism	Carbohydrate metabolism
266	Cchi00417	ko00190	Oxidative phosphorylation	Metabolism	Energy metabolism
267	Cchi00417	ko04714	Thermogenesis	Organismal Systems	Environmental adaptation
272	Cchi00419	ko00350	Tyrosine metabolism	Metabolism	Amino acid metabolism
273	Cchi00420	ko03008	Ribosome biogenesis in eukaryotes	Genetic Information Processing	Translation
274	Cchi00420	ko03013	RNA transport	Genetic Information Processing	Translation
275	Cchi00427	ko04310	Wnt signaling pathway	Environmental Information Processing	Signal transduction
276	Cchi00427	ko04330	Notch signaling pathway	Environmental Information Processing	Signal transduction
279	Cchi00439	ko04217	Necroptosis	Cellular Processes	Cell growth and death
280	Cchi00439	ko04624	Toll and Imd signaling pathway	Organismal Systems	Immune system
281	Cchi00450	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism	Metabolism of cofactors and vitamins
282	Cchi00450	ko00360	Phenylalanine metabolism	Metabolism	Amino acid metabolism
283	Cchi00450	ko00940	Phenylpropanoid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
284	Cchi00455	ko04138	Autophagy - yeast	Cellular Processes	Transport and catabolism
285	Cchi00456	ko04142	Lysosome	Cellular Processes	Transport and catabolism
287	Cchi00458	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
288	Cchi00458	ko04510	Focal adhesion	Cellular Processes	Cellular community - eukaryotes
291	Cchi00460	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
292	Cchi00460	ko04510	Focal adhesion	Cellular Processes	Cellular community - eukaryotes
295	Cchi00461	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
296	Cchi00461	ko04510	Focal adhesion	Cellular Processes	Cellular community - eukaryotes
299	Cchi00465	ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
300	Cchi00465	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
301	Cchi00465	ko00140	Steroid hormone biosynthesis	Metabolism	Lipid metabolism
302	Cchi00465	ko00830	Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins
303	Cchi00465	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
304	Cchi00465	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
305	Cchi00465	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
306	Cchi00465	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
308	Cchi00475	ko04020	Calcium signaling pathway	Environmental Information Processing	Signal transduction
309	Cchi00475	ko04022	cGMP-PKG signaling pathway	Environmental Information Processing	Signal transduction
310	Cchi00475	ko04270	Vascular smooth muscle contraction	Organismal Systems	Circulatory system
311	Cchi00475	ko04371	Apelin signaling pathway	Environmental Information Processing	Signal transduction
312	Cchi00475	ko04510	Focal adhesion	Cellular Processes	Cellular community - eukaryotes
313	Cchi00475	ko04611	Platelet activation	Organismal Systems	Immune system
314	Cchi00475	ko04810	Regulation of actin cytoskeleton	Cellular Processes	Cell motility
315	Cchi00475	ko04921	Oxytocin signaling pathway	Organismal Systems	Endocrine system
316	Cchi00475	ko04971	Gastric acid secretion	Organismal Systems	Digestive system
317	Cchi00480	ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
318	Cchi00480	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
319	Cchi00480	ko00140	Steroid hormone biosynthesis	Metabolism	Lipid metabolism
320	Cchi00480	ko00830	Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins
321	Cchi00480	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
322	Cchi00480	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
323	Cchi00480	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
324	Cchi00480	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
326	Cchi00496	ko04140	Autophagy - animal	Cellular Processes	Transport and catabolism
327	Cchi00496	ko04142	Lysosome	Cellular Processes	Transport and catabolism
328	Cchi00496	ko04210	Apoptosis	Cellular Processes	Cell growth and death
329	Cchi00496	ko04612	Antigen processing and presentation	Organismal Systems	Immune system
330	Cchi00496	ko04621	NOD-like receptor signaling pathway	Organismal Systems	Immune system
331	Cchi00496	ko04924	Renin secretion	Organismal Systems	Endocrine system
332	Cchi00497	ko03013	RNA transport	Genetic Information Processing	Translation
333	Cchi00497	ko03015	mRNA surveillance pathway	Genetic Information Processing	Translation
334	Cchi00498	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
335	Cchi00498	ko04064	NF-kappa B signaling pathway	Environmental Information Processing	Signal transduction
336	Cchi00498	ko04620	Toll-like receptor signaling pathway	Organismal Systems	Immune system
337	Cchi00498	ko04621	NOD-like receptor signaling pathway	Organismal Systems	Immune system
338	Cchi00498	ko04624	Toll and Imd signaling pathway	Organismal Systems	Immune system
352	Cchi00499	ko04020	Calcium signaling pathway	Environmental Information Processing	Signal transduction
353	Cchi00499	ko04022	cGMP-PKG signaling pathway	Environmental Information Processing	Signal transduction
354	Cchi00499	ko04972	Pancreatic secretion	Organismal Systems	Digestive system
356	Cchi00503	ko03008	Ribosome biogenesis in eukaryotes	Genetic Information Processing	Translation
357	Cchi00503	ko03013	RNA transport	Genetic Information Processing	Translation
360	Cchi00510	ko00220	Arginine biosynthesis	Metabolism	Amino acid metabolism
361	Cchi00510	ko00250	Alanine, aspartate and glutamate metabolism	Metabolism	Amino acid metabolism
362	Cchi00510	ko00270	Cysteine and methionine metabolism	Metabolism	Amino acid metabolism
363	Cchi00510	ko00330	Arginine and proline metabolism	Metabolism	Amino acid metabolism
364	Cchi00510	ko00350	Tyrosine metabolism	Metabolism	Amino acid metabolism
365	Cchi00510	ko00360	Phenylalanine metabolism	Metabolism	Amino acid metabolism
366	Cchi00510	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	Metabolism	Amino acid metabolism
367	Cchi00510	ko00710	Carbon fixation in photosynthetic organisms	Metabolism	Energy metabolism
368	Cchi00510	ko00950	Isoquinoline alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
369	Cchi00510	ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
370	Cchi00511	ko00220	Arginine biosynthesis	Metabolism	Amino acid metabolism
371	Cchi00511	ko00250	Alanine, aspartate and glutamate metabolism	Metabolism	Amino acid metabolism
372	Cchi00511	ko00270	Cysteine and methionine metabolism	Metabolism	Amino acid metabolism
373	Cchi00511	ko00330	Arginine and proline metabolism	Metabolism	Amino acid metabolism
374	Cchi00511	ko00350	Tyrosine metabolism	Metabolism	Amino acid metabolism
375	Cchi00511	ko00360	Phenylalanine metabolism	Metabolism	Amino acid metabolism
376	Cchi00511	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	Metabolism	Amino acid metabolism
377	Cchi00511	ko00710	Carbon fixation in photosynthetic organisms	Metabolism	Energy metabolism
378	Cchi00511	ko00950	Isoquinoline alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
379	Cchi00511	ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
380	Cchi00515	ko00220	Arginine biosynthesis	Metabolism	Amino acid metabolism
381	Cchi00515	ko00250	Alanine, aspartate and glutamate metabolism	Metabolism	Amino acid metabolism
382	Cchi00515	ko00270	Cysteine and methionine metabolism	Metabolism	Amino acid metabolism
383	Cchi00515	ko00330	Arginine and proline metabolism	Metabolism	Amino acid metabolism
384	Cchi00515	ko00350	Tyrosine metabolism	Metabolism	Amino acid metabolism
385	Cchi00515	ko00360	Phenylalanine metabolism	Metabolism	Amino acid metabolism
386	Cchi00515	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	Metabolism	Amino acid metabolism
387	Cchi00515	ko00710	Carbon fixation in photosynthetic organisms	Metabolism	Energy metabolism
388	Cchi00515	ko00950	Isoquinoline alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
389	Cchi00515	ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
390	Cchi00516	ko04310	Wnt signaling pathway	Environmental Information Processing	Signal transduction
391	Cchi00517	ko03010	Ribosome	Genetic Information Processing	Translation
392	Cchi00519	ko00120	Primary bile acid biosynthesis	Metabolism	Lipid metabolism
393	Cchi00519	ko04146	Peroxisome	Cellular Processes	Transport and catabolism
394	Cchi00520	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
395	Cchi00522	ko03010	Ribosome	Genetic Information Processing	Translation
396	Cchi00529	ko03010	Ribosome	Genetic Information Processing	Translation
398	Cchi00532	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
399	Cchi00532	ko04012	ErbB signaling pathway	Environmental Information Processing	Signal transduction
400	Cchi00532	ko04013	MAPK signaling pathway - fly	Environmental Information Processing	Signal transduction
401	Cchi00532	ko04024	cAMP signaling pathway	Environmental Information Processing	Signal transduction
402	Cchi00532	ko04137	Mitophagy - animal	Cellular Processes	Transport and catabolism
